KMeans_Cluster,GMM_Cluster,GMM_Probability,JobSatisfaction
0,2,1.0,4
2,2,1.0,1
1,2,1.0,3
3,0,1.0,4
0,2,1.0,3
3,2,1.0,2
3,2,1.0,4
1,0,1.0,1
1,2,1.0,4
0,2,1.0,4
2,3,0.9999999999924221,4
1,2,1.0,3
1,2,1.0,2
3,2,1.0,2
2,0,1.0,3
1,2,1.0,3
0,2,1.0,2
2,3,1.0,4
0,1,1.0,3
0,2,1.0,4
1,2,1.0,1
3,2,1.0,3
3,2,1.0,4
0,2,1.0,3
1,2,1.0,3
1,1,1.0,3
0,2,1.0,2
3,2,1.0,4
1,2,1.0,3
0,2,1.0,3
1,1,1.0,4
0,2,1.0,1
3,2,1.0,4
3,2,1.0,3
0,2,1.0,3
1,2,1.0,4
0,2,1.0,1
0,2,1.0,4
2,0,1.0,1
0,2,1.0,1
0,2,1.0,2
1,2,1.0,2
1,2,1.0,2
1,1,1.0,3
1,2,1.0,2
1,2,1.0,4
1,2,1.0,3
3,2,1.0,3
3,2,1.0,2
1,2,1.0,4
0,1,1.0,3
0,2,1.0,4
0,2,1.0,2
0,2,1.0,4
3,2,1.0,4
0,2,1.0,3
2,0,1.0,2
1,2,1.0,3
1,2,1.0,4
3,2,1.0,4
0,2,1.0,3
0,2,1.0,2
0,1,1.0,1
1,2,1.0,2
1,2,1.0,1
3,2,1.0,1
3,2,1.0,1
0,2,1.0,4
0,2,1.0,4
2,2,1.0,1
0,2,1.0,4
0,2,1.0,4
0,2,1.0,2
0,1,1.0,2
0,2,1.0,3
3,2,1.0,1
1,2,1.0,2
2,0,1.0,3
2,3,0.999999999414733,2
1,2,1.0,3
3,2,1.0,2
2,0,1.0,3
0,2,1.0,2
0,2,1.0,3
0,2,1.0,4
2,0,1.0,4
1,2,1.0,1
0,2,1.0,2
3,2,1.0,3
3,2,1.0,3
1,2,1.0,4
0,2,1.0,1
1,2,1.0,4
0,2,1.0,3
3,2,1.0,4
3,2,1.0,1
1,2,1.0,4
0,2,1.0,2
0,2,1.0,4
3,2,1.0,4
3,2,1.0,1
1,2,1.0,4
1,2,1.0,3
1,2,1.0,3
2,0,1.0,2
0,2,1.0,1
3,0,1.0,4
3,2,1.0,1
0,2,1.0,3
2,2,1.0,4
3,2,1.0,1
1,2,1.0,2
0,2,1.0,2
1,0,1.0,4
1,2,1.0,3
0,2,1.0,3
3,2,1.0,4
1,1,1.0,4
1,2,1.0,4
1,2,1.0,3
0,2,1.0,4
3,2,1.0,4
2,0,1.0,4
3,1,1.0,3
2,0,1.0,4
0,2,1.0,4
2,3,0.9999999999705835,4
1,2,1.0,1
2,3,0.9999999999943618,3
0,1,1.0,2
0,2,1.0,3
3,2,1.0,3
0,2,1.0,4
3,2,1.0,1
1,2,1.0,4
2,3,0.9999999999998614,4
3,0,1.0,3
0,2,1.0,4
1,2,1.0,1
0,2,1.0,1
3,2,1.0,3
3,2,1.0,3
2,2,1.0,3
0,2,1.0,4
3,2,1.0,1
0,2,1.0,4
0,2,1.0,3
1,2,1.0,1
2,0,1.0,3
0,2,1.0,4
0,2,1.0,2
0,2,1.0,2
1,2,1.0,4
0,2,1.0,1
2,3,0.999999999999968,2
0,2,1.0,3
0,2,1.0,2
1,2,1.0,4
0,2,1.0,1
2,2,1.0,4
1,2,1.0,4
2,3,0.9999999891752402,1
1,0,1.0,2
0,2,1.0,4
3,2,1.0,4
0,2,1.0,3
3,0,1.0,4
3,0,1.0,2
1,2,1.0,1
0,2,1.0,2
2,0,1.0,2
3,0,1.0,3
1,2,1.0,3
1,2,1.0,4
1,2,1.0,4
0,2,1.0,1
1,2,1.0,4
3,2,1.0,3
3,2,1.0,4
0,2,1.0,2
0,2,1.0,4
3,0,1.0,1
1,2,1.0,2
0,1,1.0,2
1,2,1.0,4
0,2,1.0,4
2,2,1.0,2
0,2,1.0,3
1,2,1.0,2
0,2,1.0,4
3,2,1.0,2
2,0,1.0,2
0,1,1.0,3
0,2,1.0,1
1,2,1.0,4
1,2,1.0,4
1,2,1.0,2
1,2,1.0,3
3,0,1.0,2
3,2,1.0,3
0,2,1.0,4
0,1,1.0,1
2,2,1.0,1
0,2,1.0,4
1,0,1.0,2
2,0,1.0,1
1,2,1.0,4
3,2,1.0,3
1,2,1.0,2
0,2,1.0,2
1,2,1.0,2
0,2,1.0,3
1,2,1.0,4
3,2,1.0,4
0,2,1.0,4
1,2,1.0,4
1,2,1.0,3
2,0,1.0,4
3,2,1.0,3
0,2,1.0,4
3,0,1.0,3
0,2,1.0,3
0,2,1.0,2
3,2,1.0,3
3,2,1.0,1
1,2,1.0,4
0,2,1.0,4
0,2,1.0,1
0,2,1.0,4
1,2,1.0,3
1,2,1.0,2
3,2,1.0,4
1,0,1.0,4
1,2,1.0,4
1,2,1.0,2
1,2,1.0,2
0,2,1.0,4
3,2,1.0,2
0,1,1.0,3
3,0,1.0,4
0,2,1.0,3
0,1,1.0,3
0,2,1.0,2
3,0,1.0,3
1,2,1.0,1
0,2,1.0,3
1,2,1.0,3
3,2,1.0,4
0,1,1.0,2
3,2,1.0,4
1,2,1.0,4
3,2,1.0,3
1,2,1.0,3
0,1,1.0,4
0,1,1.0,3
3,2,1.0,1
3,2,1.0,3
1,2,1.0,2
3,2,1.0,4
0,2,1.0,3
0,2,1.0,2
0,1,1.0,2
0,2,1.0,4
3,2,1.0,2
0,2,1.0,2
1,2,1.0,4
3,2,1.0,3
3,2,1.0,4
0,2,1.0,3
3,2,1.0,4
3,0,1.0,4
0,2,1.0,3
0,1,1.0,2
0,2,1.0,1
0,2,1.0,2
1,2,1.0,3
0,2,1.0,4
1,2,1.0,1
3,2,1.0,2
0,2,1.0,1
3,2,1.0,2
2,0,1.0,2
3,2,1.0,3
3,0,1.0,1
3,2,1.0,3
1,2,1.0,1
3,2,1.0,4
3,2,1.0,3
0,2,1.0,4
1,2,1.0,3
0,2,1.0,1
2,0,1.0,3
2,2,1.0,1
0,2,1.0,3
1,2,1.0,1
0,2,1.0,1
0,2,1.0,1
3,2,1.0,3
0,2,1.0,4
3,0,1.0,4
3,2,1.0,3
0,2,1.0,4
2,3,0.999998043995367,1
1,2,1.0,3
1,2,1.0,4
0,1,1.0,2
0,1,1.0,3
0,2,1.0,4
2,0,1.0,3
0,2,1.0,4
0,2,1.0,4
1,0,1.0,3
0,2,1.0,2
0,1,1.0,4
1,2,1.0,1
3,0,1.0,4
2,0,1.0,3
1,2,1.0,4
2,2,1.0,1
3,2,1.0,4
3,0,1.0,3
0,2,1.0,3
3,2,1.0,3
1,2,1.0,3
3,2,1.0,4
1,2,1.0,2
1,0,1.0,3
0,2,1.0,4
0,1,1.0,2
3,2,1.0,3
3,2,1.0,3
3,1,1.0,1
0,2,1.0,3
1,2,1.0,4
0,2,1.0,3
1,2,1.0,4
2,0,1.0,2
1,2,1.0,4
1,2,1.0,3
2,2,1.0,3
0,2,1.0,3
0,2,1.0,4
1,2,1.0,1
1,2,1.0,2
0,1,1.0,3
0,2,1.0,4
3,0,1.0,3
3,0,1.0,4
0,1,1.0,2
3,2,1.0,1
1,2,1.0,3
0,2,1.0,3
0,2,1.0,3
1,2,1.0,4
0,2,1.0,4
3,2,1.0,4
3,2,1.0,3
2,0,1.0,1
1,2,1.0,2
1,2,1.0,1
3,2,1.0,3
0,1,1.0,4
3,2,1.0,3
3,2,1.0,2
2,3,0.9999999785917171,3
0,2,1.0,4
0,2,1.0,2
0,2,1.0,2
2,3,1.0,2
0,1,1.0,3
0,2,1.0,3
0,1,1.0,1
0,2,1.0,4
0,2,1.0,1
0,2,1.0,4
1,2,1.0,4
0,2,1.0,3
3,2,1.0,3
0,2,1.0,2
0,2,1.0,4
3,0,1.0,4
0,2,1.0,1
1,2,1.0,3
3,0,1.0,1
3,1,1.0,3
0,1,1.0,3
0,1,1.0,1
0,1,1.0,3
3,0,1.0,4
0,2,1.0,3
0,2,1.0,3
0,2,1.0,4
0,2,1.0,3
1,2,1.0,1
1,2,1.0,4
3,2,1.0,1
0,2,1.0,4
1,2,1.0,3
0,2,1.0,3
1,2,1.0,4
1,2,1.0,4
3,1,1.0,2
0,2,1.0,2
0,2,1.0,4
0,2,1.0,3
1,2,1.0,1
0,2,1.0,3
0,2,1.0,1
0,2,1.0,2
1,2,1.0,4
1,2,1.0,4
3,2,1.0,2
0,2,1.0,4
0,2,1.0,4
1,2,1.0,3
1,2,1.0,2
0,2,1.0,3
1,2,1.0,3
1,2,1.0,4
3,2,1.0,3
1,2,1.0,4
1,2,1.0,1
1,0,1.0,4
1,2,1.0,1
2,2,1.0,1
3,0,1.0,3
2,3,1.0,4
3,2,1.0,1
1,2,1.0,1
2,3,0.9999999999999218,3
3,1,1.0,2
0,2,1.0,2
3,0,1.0,1
3,2,1.0,3
0,2,1.0,3
2,2,1.0,3
1,2,1.0,4
0,1,1.0,3
3,2,1.0,3
3,2,1.0,4
0,2,1.0,3
0,2,1.0,1
3,1,1.0,2
3,2,1.0,4
0,2,1.0,4
3,2,1.0,1
0,1,1.0,2
3,2,1.0,4
3,2,1.0,1
1,2,1.0,4
0,2,1.0,3
0,2,1.0,1
2,3,1.0,1
1,2,1.0,4
0,2,1.0,4
1,1,1.0,3
0,2,1.0,3
3,2,1.0,3
0,2,1.0,4
3,0,1.0,1
1,2,1.0,1
0,2,1.0,4
0,2,1.0,4
0,2,1.0,3
0,2,1.0,1
0,2,1.0,4
3,2,1.0,1
0,2,1.0,4
0,2,1.0,1
1,2,1.0,1
0,2,1.0,1
0,1,1.0,4
0,2,1.0,3
1,2,1.0,2
0,2,1.0,1
2,0,1.0,4
0,2,1.0,1
0,2,1.0,2
3,2,1.0,3
3,0,1.0,3
0,2,1.0,1
1,0,1.0,3
0,2,1.0,1
2,3,0.9999999999999112,4
1,2,1.0,2
1,2,1.0,3
2,3,1.0,2
0,2,1.0,3
3,2,1.0,4
0,2,1.0,3
0,1,1.0,2
1,2,1.0,3
3,2,1.0,3
0,2,1.0,4
0,2,1.0,3
1,2,1.0,2
0,2,1.0,1
0,2,1.0,4
1,2,1.0,4
1,2,1.0,4
3,0,1.0,1
1,3,0.9999999998855671,4
1,2,1.0,3
1,2,1.0,2
0,1,1.0,4
0,2,1.0,3
0,2,1.0,4
2,3,0.9999999999499671,3
3,2,1.0,2
0,2,1.0,1
1,2,1.0,1
0,2,1.0,1
1,2,1.0,4
0,2,1.0,4
3,2,1.0,4
3,2,1.0,4
3,2,1.0,1
0,2,1.0,3
3,2,1.0,4
3,2,1.0,3
0,1,1.0,4
0,2,1.0,4
0,2,1.0,4
0,2,1.0,4
0,1,1.0,1
0,2,1.0,1
1,2,1.0,3
1,2,1.0,2
0,2,1.0,4
0,2,1.0,1
0,2,1.0,1
0,2,1.0,4
1,2,1.0,2
0,1,1.0,2
3,2,1.0,4
0,2,1.0,4
0,1,1.0,3
3,2,1.0,4
1,2,1.0,2
0,1,1.0,4
2,0,1.0,4
3,2,1.0,4
1,2,1.0,4
1,2,1.0,2
2,3,0.9999999999688143,1
3,1,1.0,4
0,1,1.0,2
0,2,1.0,4
0,2,1.0,4
0,2,1.0,1
0,2,1.0,4
3,2,1.0,4
3,2,1.0,2
0,1,1.0,3
0,2,1.0,4
1,2,1.0,4
0,1,1.0,4
0,2,1.0,3
0,2,1.0,4
0,2,1.0,3
0,2,1.0,1
0,2,1.0,3
0,2,1.0,2
3,2,1.0,3
0,2,1.0,1
3,2,1.0,2
1,1,1.0,3
1,2,1.0,4
2,2,1.0,2
3,2,1.0,3
0,2,1.0,3
0,2,1.0,4
2,0,1.0,1
0,2,1.0,2
0,1,1.0,2
3,2,1.0,2
1,2,1.0,1
1,2,1.0,1
1,2,1.0,3
0,1,1.0,2
0,2,1.0,1
1,2,1.0,4
3,2,1.0,2
1,2,1.0,1
1,2,1.0,4
0,2,1.0,4
2,2,1.0,3
1,2,1.0,2
0,1,1.0,4
0,2,1.0,3
2,0,1.0,4
3,2,1.0,3
2,0,1.0,3
1,2,1.0,3
0,2,1.0,4
1,2,1.0,4
1,2,1.0,3
3,2,1.0,2
1,2,1.0,3
1,2,1.0,4
0,2,1.0,1
1,0,1.0,3
0,2,1.0,1
0,2,1.0,4
0,2,1.0,4
3,0,1.0,4
0,2,1.0,2
2,0,1.0,3
0,2,1.0,2
1,2,1.0,1
0,2,1.0,4
0,2,1.0,3
2,2,1.0,3
0,2,1.0,3
3,2,1.0,3
0,2,1.0,3
0,2,1.0,2
0,2,1.0,1
0,2,1.0,4
3,2,1.0,3
1,2,1.0,3
1,0,1.0,1
0,2,1.0,1
0,2,1.0,2
0,2,1.0,4
0,2,1.0,1
3,2,1.0,3
2,2,1.0,3
3,2,1.0,3
2,2,1.0,4
0,2,1.0,4
0,2,1.0,4
3,0,1.0,3
3,2,1.0,4
3,2,1.0,4
3,2,1.0,2
1,2,1.0,2
2,0,1.0,3
3,2,1.0,4
0,2,1.0,1
2,3,1.0,4
2,2,1.0,4
1,2,1.0,3
1,2,1.0,1
1,2,1.0,1
0,1,1.0,4
3,0,1.0,4
1,2,1.0,3
1,2,1.0,4
3,0,1.0,4
0,1,1.0,2
2,2,1.0,2
3,2,1.0,3
0,2,1.0,1
0,1,1.0,3
0,1,1.0,2
0,2,1.0,3
2,0,1.0,3
0,2,1.0,2
1,2,1.0,1
0,2,1.0,3
3,0,1.0,4
3,2,1.0,3
3,2,1.0,3
1,2,1.0,4
2,0,1.0,1
3,2,1.0,4
0,1,1.0,4
0,2,1.0,1
1,2,1.0,1
3,2,1.0,3
1,2,1.0,1
0,2,1.0,1
0,2,1.0,1
1,2,1.0,3
1,2,1.0,3
1,2,1.0,4
0,2,1.0,3
3,2,1.0,2
1,2,1.0,3
2,3,1.0,1
3,2,1.0,4
1,2,1.0,1
1,2,1.0,3
0,2,1.0,3
0,2,1.0,4
3,2,1.0,4
1,2,1.0,4
0,2,1.0,3
0,2,1.0,2
2,0,1.0,1
0,2,1.0,2
3,2,1.0,3
0,2,1.0,2
0,2,1.0,4
3,0,1.0,4
1,2,1.0,3
3,2,1.0,2
1,2,1.0,3
1,2,1.0,4
1,2,1.0,2
2,0,1.0,3
3,2,1.0,2
3,2,1.0,1
2,2,1.0,4
2,0,1.0,3
0,2,1.0,2
3,2,1.0,2
1,2,1.0,4
0,1,1.0,4
0,2,1.0,2
0,2,1.0,4
3,2,1.0,2
0,2,1.0,3
0,2,1.0,2
3,2,1.0,4
0,2,1.0,4
0,1,1.0,3
0,2,1.0,3
0,2,1.0,3
0,2,1.0,1
0,2,1.0,4
0,2,1.0,3
3,2,1.0,4
0,2,1.0,3
0,2,1.0,3
0,1,1.0,3
1,2,1.0,1
2,0,1.0,3
2,2,1.0,1
3,2,1.0,1
0,2,1.0,3
0,2,1.0,2
0,2,1.0,4
1,2,1.0,4
1,2,1.0,3
3,2,1.0,4
1,2,1.0,2
1,2,1.0,1
0,2,1.0,4
3,2,1.0,3
0,1,1.0,1
2,0,1.0,1
1,2,1.0,4
0,2,1.0,1
3,2,1.0,3
1,2,1.0,4
0,2,1.0,3
0,2,1.0,3
2,0,1.0,3
0,2,1.0,4
0,2,1.0,4
2,3,1.0,1
0,2,1.0,3
0,1,1.0,3
0,2,1.0,1
3,2,1.0,1
3,2,1.0,2
3,0,1.0,1
0,2,1.0,1
3,0,1.0,2
1,2,1.0,1
0,2,1.0,2
1,2,1.0,3
1,2,1.0,3
1,2,1.0,3
1,2,1.0,4
0,1,1.0,4
3,2,1.0,4
3,1,1.0,1
1,2,1.0,4
0,2,1.0,2
1,2,1.0,3
1,2,1.0,1
1,2,1.0,4
3,2,1.0,2
0,2,1.0,4
1,2,1.0,2
3,0,1.0,1
1,2,1.0,4
1,2,1.0,1
3,2,1.0,3
1,2,1.0,4
0,2,1.0,2
0,2,1.0,4
2,0,1.0,4
0,2,1.0,1
1,2,1.0,1
3,2,1.0,4
2,0,1.0,4
3,0,1.0,3
1,2,1.0,2
0,2,1.0,2
0,2,1.0,3
0,2,1.0,4
3,0,1.0,4
1,0,1.0,4
0,2,1.0,3
2,3,0.999999994613237,2
1,2,1.0,3
0,2,1.0,4
0,2,1.0,3
0,1,1.0,4
0,2,1.0,4
2,3,1.0,2
2,3,1.0,2
0,2,1.0,3
2,0,1.0,2
0,2,1.0,1
2,3,0.9999999999467235,2
3,2,1.0,4
1,2,1.0,2
0,2,1.0,3
2,0,1.0,1
1,1,1.0,2
0,2,1.0,3
3,2,1.0,2
2,2,1.0,4
1,2,1.0,2
1,2,1.0,4
0,2,1.0,4
1,2,1.0,3
1,2,1.0,3
1,2,1.0,3
0,2,1.0,1
0,2,1.0,2
1,2,1.0,4
3,0,1.0,2
2,3,0.9999999226317259,2
3,2,1.0,3
0,2,1.0,3
0,2,1.0,1
1,2,1.0,4
1,2,1.0,3
1,1,1.0,1
1,2,1.0,4
3,0,1.0,1
3,2,1.0,2
3,2,1.0,2
1,0,1.0,1
1,2,1.0,3
1,2,1.0,3
1,2,1.0,2
0,1,1.0,2
0,2,1.0,1
2,0,1.0,3
2,0,1.0,3
2,0,1.0,2
3,2,1.0,3
1,2,1.0,4
1,2,1.0,4
1,2,1.0,1
0,2,1.0,3
2,3,1.0,2
1,2,1.0,1
1,2,1.0,1
0,2,1.0,4
2,2,1.0,1
0,2,1.0,2
1,2,1.0,1
1,2,1.0,4
0,1,1.0,4
3,2,1.0,2
0,2,1.0,4
0,2,1.0,4
0,2,1.0,4
2,2,1.0,3
2,2,1.0,2
0,2,1.0,3
1,2,1.0,3
1,2,1.0,3
0,1,1.0,4
0,2,1.0,3
0,2,1.0,3
1,2,1.0,4
0,2,1.0,1
1,2,1.0,3
3,2,1.0,4
3,2,1.0,2
3,2,1.0,4
0,2,1.0,3
3,2,1.0,4
0,2,1.0,2
3,2,1.0,3
0,2,1.0,3
3,2,1.0,3
1,2,1.0,3
0,2,1.0,4
1,2,1.0,3
0,2,1.0,4
2,3,0.9999999999999964,1
3,2,1.0,1
0,2,1.0,3
3,2,1.0,4
0,2,1.0,4
0,2,1.0,1
1,1,1.0,1
3,2,1.0,1
1,2,1.0,4
2,0,1.0,4
2,0,1.0,1
3,0,1.0,4
3,2,1.0,2
0,1,1.0,3
3,2,1.0,1
3,0,1.0,2
0,2,1.0,1
0,2,1.0,2
0,2,1.0,1
1,2,1.0,4
3,2,1.0,1
3,2,1.0,4
0,1,1.0,1
0,2,1.0,3
0,2,1.0,1
2,0,1.0,3
0,2,1.0,3
3,2,1.0,4
0,2,1.0,2
0,2,1.0,3
1,2,1.0,3
1,2,1.0,4
3,2,1.0,4
0,2,1.0,1
1,2,1.0,2
3,2,1.0,1
0,1,1.0,2
0,2,1.0,4
3,2,1.0,4
3,2,1.0,1
0,1,1.0,3
1,0,1.0,2
0,2,1.0,1
0,2,1.0,3
2,0,1.0,2
3,2,1.0,3
0,2,1.0,3
0,2,1.0,2
0,2,1.0,1
1,2,1.0,1
0,2,1.0,3
1,2,1.0,4
3,2,1.0,3
0,2,1.0,3
1,2,1.0,3
3,2,1.0,2
2,0,1.0,1
0,1,1.0,3
0,2,1.0,2
1,2,1.0,2
0,1,1.0,3
0,2,1.0,1
0,1,1.0,2
3,2,1.0,3
1,2,1.0,3
0,1,1.0,3
3,2,1.0,3
3,2,1.0,2
3,2,1.0,3
0,2,1.0,1
0,2,1.0,3
0,2,1.0,1
3,2,1.0,1
0,2,1.0,2
1,2,1.0,2
3,2,1.0,3
3,0,1.0,4
2,0,1.0,4
0,2,1.0,1
2,3,0.9999999957535657,1
3,2,1.0,2
2,0,1.0,2
1,2,1.0,2
0,2,1.0,3
0,2,1.0,1
1,2,1.0,3
0,2,1.0,3
2,3,1.0,4
1,1,1.0,3
0,2,1.0,2
1,2,1.0,4
1,2,1.0,1
0,2,1.0,2
0,2,1.0,4
2,2,1.0,4
1,2,1.0,1
1,2,1.0,3
2,3,1.0,4
0,2,1.0,1
0,2,1.0,4
1,2,1.0,2
0,1,1.0,3
0,2,1.0,2
0,1,1.0,4
3,2,1.0,3
0,2,1.0,3
0,2,1.0,1
1,2,1.0,1
3,1,1.0,3
0,2,1.0,1
3,2,1.0,2
0,2,1.0,1
2,3,1.0,4
0,2,1.0,2
0,2,1.0,1
3,2,1.0,1
0,2,1.0,4
2,3,1.0,4
3,2,1.0,4
0,2,1.0,4
1,2,1.0,2
0,2,1.0,2
3,2,1.0,3
1,2,1.0,1
0,2,1.0,3
1,2,1.0,3
0,2,1.0,4
3,0,1.0,3
0,2,1.0,3
3,2,1.0,1
3,0,1.0,4
1,2,1.0,3
1,2,1.0,3
0,2,1.0,1
3,2,1.0,2
0,2,1.0,4
2,3,0.9999999999999929,1
0,2,1.0,2
0,2,1.0,3
2,2,1.0,3
0,2,1.0,4
2,0,1.0,4
0,2,1.0,2
1,2,1.0,1
1,2,1.0,1
3,2,1.0,1
3,2,1.0,3
1,2,1.0,4
1,2,1.0,1
1,2,1.0,1
1,2,1.0,1
1,2,1.0,1
0,2,1.0,1
0,2,1.0,4
0,1,1.0,4
3,0,1.0,3
1,2,1.0,3
2,2,1.0,3
1,2,1.0,3
3,2,1.0,3
1,2,1.0,3
1,2,1.0,4
3,2,1.0,3
3,2,1.0,1
1,2,1.0,2
3,2,1.0,4
3,1,1.0,4
3,0,1.0,4
3,2,1.0,4
0,2,1.0,4
0,2,1.0,3
0,2,1.0,4
0,2,1.0,1
3,2,1.0,3
3,2,1.0,1
1,2,1.0,3
0,2,1.0,2
3,0,1.0,2
2,0,1.0,1
0,1,1.0,3
1,2,1.0,2
0,2,1.0,2
2,2,1.0,3
0,2,1.0,3
3,2,1.0,1
2,0,1.0,3
2,0,1.0,3
1,2,1.0,4
1,2,1.0,4
1,2,1.0,2
0,2,1.0,4
1,2,1.0,2
0,2,1.0,4
3,2,1.0,1
0,2,1.0,2
3,0,1.0,2
3,0,1.0,3
3,2,1.0,3
0,1,1.0,1
0,2,1.0,4
3,2,1.0,3
0,1,1.0,4
0,2,1.0,3
0,2,1.0,3
3,2,1.0,4
1,1,1.0,3
0,2,1.0,2
1,2,1.0,4
3,2,1.0,2
1,2,1.0,4
3,2,1.0,4
1,2,1.0,2
0,2,1.0,4
1,2,1.0,4
0,1,1.0,4
1,2,1.0,4
0,2,1.0,4
1,2,1.0,4
0,2,1.0,3
1,2,1.0,3
3,2,1.0,3
1,1,1.0,4
2,3,1.0,3
0,1,1.0,3
2,2,1.0,3
0,2,1.0,3
2,3,0.9999999999970299,2
0,2,1.0,3
0,2,1.0,3
3,1,1.0,2
3,2,1.0,1
0,2,1.0,1
1,2,1.0,2
1,2,1.0,3
0,2,1.0,4
3,2,1.0,2
3,2,1.0,4
3,2,1.0,1
0,2,1.0,2
0,2,1.0,2
0,2,1.0,4
1,2,1.0,4
3,2,1.0,3
2,0,1.0,2
3,1,1.0,3
1,2,1.0,1
0,1,1.0,4
0,1,1.0,4
0,2,1.0,3
0,2,1.0,4
0,1,1.0,2
3,2,1.0,3
1,2,1.0,1
0,2,1.0,4
1,2,1.0,2
3,2,1.0,4
3,2,1.0,1
0,2,1.0,2
3,2,1.0,3
0,2,1.0,1
0,2,1.0,3
1,2,1.0,2
3,2,1.0,4
3,2,1.0,3
3,2,1.0,2
3,0,1.0,1
1,2,1.0,2
0,2,1.0,1
1,2,1.0,3
3,2,1.0,3
1,1,1.0,4
0,2,1.0,4
0,1,1.0,2
0,2,1.0,3
0,2,1.0,1
1,2,1.0,4
3,0,1.0,3
0,2,1.0,2
3,0,1.0,4
1,2,1.0,1
0,2,1.0,2
1,1,1.0,2
1,2,1.0,4
1,2,1.0,1
0,2,1.0,4
3,0,1.0,3
3,2,1.0,2
0,2,1.0,1
3,2,1.0,1
1,2,1.0,4
1,1,1.0,2
0,2,1.0,1
1,2,1.0,1
0,2,1.0,4
0,2,1.0,3
3,2,1.0,2
2,2,1.0,3
3,2,1.0,3
0,1,1.0,2
1,2,1.0,2
3,2,1.0,4
1,2,1.0,3
2,0,1.0,2
0,2,1.0,3
2,2,1.0,2
1,2,1.0,1
3,2,1.0,4
3,2,1.0,1
0,2,1.0,1
3,1,1.0,4
0,2,1.0,4
3,0,1.0,3
0,2,1.0,3
0,1,1.0,1
0,1,1.0,1
1,2,1.0,3
3,2,1.0,2
1,2,1.0,4
0,2,1.0,4
1,2,1.0,4
3,2,1.0,4
0,2,1.0,3
0,2,1.0,3
1,2,1.0,4
0,1,1.0,4
3,2,1.0,3
0,2,1.0,3
3,2,1.0,2
2,2,1.0,1
1,1,1.0,3
0,1,1.0,2
2,0,1.0,3
2,0,1.0,2
0,2,1.0,4
3,2,1.0,2
1,2,1.0,1
3,2,1.0,4
3,2,1.0,4
0,1,1.0,2
0,1,1.0,4
0,2,1.0,2
1,2,1.0,3
1,2,1.0,3
3,2,1.0,4
0,2,1.0,1
3,2,1.0,1
0,2,1.0,2
1,2,1.0,4
0,1,1.0,4
2,0,1.0,1
0,2,1.0,3
1,2,1.0,3
2,0,1.0,4
3,2,1.0,1
0,2,1.0,1
0,2,1.0,4
0,2,1.0,2
3,2,1.0,2
2,0,1.0,1
0,2,1.0,4
0,2,1.0,4
0,2,1.0,3
1,2,1.0,4
3,2,1.0,3
1,2,1.0,3
1,2,1.0,4
0,1,1.0,1
3,2,1.0,3
0,2,1.0,2
1,2,1.0,4
0,2,1.0,3
3,2,1.0,2
3,2,1.0,1
1,2,1.0,1
1,2,1.0,2
3,0,1.0,4
0,2,1.0,3
0,2,1.0,4
2,0,1.0,4
3,2,1.0,4
0,1,1.0,2
0,2,1.0,1
0,2,1.0,3
